Modelos,Escala dos Dados,Variáveis Utilizadas,RMSE Médio,R2 Médio
CatBoostRegressor,Normalizer,6,-2.120302937727086,0.561399260751798
CatBoostRegressor,Normalizer,9,-2.1392143358409994,0.5532965527078991
CatBoostRegressor,Normalizer,11,-2.1403982672112254,0.5527989940569185
CatBoostRegressor,Normalizer,10,-2.140561681529262,0.5527604696452662
CatBoostRegressor,Normalizer,13,-2.1409429271723837,0.5525382366020158
CatBoostRegressor,Normalizer,14,-2.1442561801781066,0.5513693180556443
CatBoostRegressor,Original,12,-2.1459624866795455,0.5506643286960154
CatBoostRegressor,MaxAbsScaler,12,-2.146059190209626,0.5506236850055435
CatBoostRegressor,RobustScaler01,12,-2.1461143537307477,0.5506013090301809
CatBoostRegressor,RobustScaler,12,-2.1463792135218824,0.5504884204364878
CatBoostRegressor,Original,13,-2.146475939565292,0.5504398101488848
CatBoostRegressor,MinMaxScaler,12,-2.146483844710107,0.5504436635000336
CatBoostRegressor,MaxAbsScaler,13,-2.1465233042680847,0.55042009497919
CatBoostRegressor,MinMaxScaler01,12,-2.146579870094812,0.5504046519889964
CatBoostRegressor,StandardScaler,12,-2.146580604464505,0.5504075646224269
CatBoostRegressor,QuantileTransformer01,13,-2.1472331284845367,0.5501768196801567
CatBoostRegressor,QuantileTransformer01,12,-2.1478524671544172,0.5498955551273365
CatBoostRegressor,QuantileTransformer,12,-2.1478933997138783,0.5498787573959001
CatBoostRegressor,StandardScaler,13,-2.1497993657106775,0.5490803738343056
CatBoostRegressor,RobustScaler01,14,-2.149955717263242,0.5489416278322942
CatBoostRegressor,MinMaxScaler,14,-2.1501206163884676,0.5488660640584667
CatBoostRegressor,MaxAbsScaler,14,-2.1501356822213564,0.5488630976601755
CatBoostRegressor,RobustScaler,14,-2.1502657739549527,0.5488070728729937
CatBoostRegressor,MinMaxScaler01,14,-2.150302947224584,0.5487927445583065
CatBoostRegressor,Original,14,-2.1503521674100488,0.5487704943938683
CatBoostRegressor,RobustScaler01,13,-2.1510968679705638,0.5485048036373447
CatBoostRegressor,MinMaxScaler,13,-2.151343575017691,0.5483998245232493
CatBoostRegressor,RobustScaler,13,-2.151411053021912,0.5483737375093807
CatBoostRegressor,MinMaxScaler01,13,-2.1514986564616434,0.5483367437120487
CatBoostRegressor,StandardScaler,14,-2.1521653388107773,0.548036889939885
CatBoostRegressor,QuantileTransformer,14,-2.1528115094993323,0.5477355223218717
CatBoostRegressor,QuantileTransformer01,14,-2.153133574236791,0.5476031414125517
CatBoostRegressor,QuantileTransformer,13,-2.1547243785961405,0.5469276145957833
CatBoostRegressor,Normalizer,8,-2.1556555281611174,0.5465415304930779
CatBoostRegressor,Normalizer,12,-2.158873566394937,0.5449380754019737
CatBoostRegressor,Normalizer,7,-2.1607538011666243,0.5442714802364405
CatBoostRegressor,QuantileTransformer01,9,-2.1671993720925853,0.5416816595505665
CatBoostRegressor,QuantileTransformer,9,-2.1672988384522776,0.5416394989521228
CatBoostRegressor,RobustScaler01,9,-2.1676659969155354,0.5414753251570092
CatBoostRegressor,StandardScaler,9,-2.167925141177765,0.5413662749410447
CatBoostRegressor,MinMaxScaler,9,-2.1679382916228307,0.5413587762390747
CatBoostRegressor,Original,9,-2.167991699669429,0.5413366369524683
CatBoostRegressor,RobustScaler,9,-2.1680455866933444,0.5413143186280293
CatBoostRegressor,MinMaxScaler01,9,-2.1680881769849663,0.5412972062948457
CatBoostRegressor,MaxAbsScaler,9,-2.168200531641573,0.5412484051897914
CatBoostRegressor,RobustScaler01,10,-2.171041104479729,0.53990016487086
CatBoostRegressor,StandardScaler,10,-2.171200169286993,0.5398325164595359
CatBoostRegressor,MaxAbsScaler,10,-2.171258361701569,0.5398057947661368
CatBoostRegressor,Original,10,-2.17127765455754,0.5398005562972026
CatBoostRegressor,RobustScaler,10,-2.1713263672979832,0.5397768902080495
CatBoostRegressor,MinMaxScaler,10,-2.1713855638869033,0.5397523760478373
CatBoostRegressor,MinMaxScaler01,10,-2.1715570158336934,0.5396792275117926
CatBoostRegressor,QuantileTransformer,11,-2.174636166970282,0.5384720303296231
CatBoostRegressor,QuantileTransformer01,11,-2.174762312598335,0.5384183534060794
CatBoostRegressor,QuantileTransformer01,10,-2.17691182108982,0.5374495242395232
CatBoostRegressor,QuantileTransformer,10,-2.176962506237968,0.5374280121402986
CatBoostRegressor,QuantileTransformer01,8,-2.178456221299826,0.5368864797964824
CatBoostRegressor,QuantileTransformer,8,-2.1785191709376734,0.536860047346601
CatBoostRegressor,RobustScaler01,8,-2.178583764674517,0.5368298342130211
CatBoostRegressor,RobustScaler01,11,-2.178909210329323,0.5367268713128294
CatBoostRegressor,RobustScaler,8,-2.1790566470146695,0.5366261032477148
CatBoostRegressor,StandardScaler,8,-2.179072666551529,0.5366203953565677
CatBoostRegressor,Original,8,-2.1790760168373025,0.5366172525077788
CatBoostRegressor,MinMaxScaler,8,-2.179145411164172,0.536586129280234
CatBoostRegressor,StandardScaler,11,-2.179180229877984,0.5366125817222047
CatBoostRegressor,MinMaxScaler,11,-2.1792505765132963,0.5365812635557953
CatBoostRegressor,RobustScaler,11,-2.179301844860377,0.5365594729758402
CatBoostRegressor,MaxAbsScaler,11,-2.1793467056606786,0.5365405412242996
CatBoostRegressor,MinMaxScaler01,11,-2.1793600589071334,0.5365350195336775
CatBoostRegressor,MinMaxScaler01,8,-2.1793700680191033,0.5364930472827565
CatBoostRegressor,Original,11,-2.1794800592463663,0.536483085102569
CatBoostRegressor,MaxAbsScaler,8,-2.179515705813981,0.5364288701361442
CatBoostRegressor,Normalizer,5,-2.183293617354605,0.5350144642560051
CatBoostRegressor,QuantileTransformer,6,-2.290951603516138,0.4877435076531846
CatBoostRegressor,QuantileTransformer01,6,-2.2910817885168666,0.48768569143075596
CatBoostRegressor,MaxAbsScaler,5,-2.2921641723033215,0.48721898338043984
CatBoostRegressor,Original,5,-2.2926170392482588,0.4870217414490874
CatBoostRegressor,QuantileTransformer,7,-2.2945245941023162,0.4861408663635524
CatBoostRegressor,QuantileTransformer01,7,-2.2946227069110043,0.4860966520234905
CatBoostRegressor,RobustScaler01,7,-2.2952094295255705,0.48577063769972434
CatBoostRegressor,StandardScaler,7,-2.295343346807163,0.4856966289367599
CatBoostRegressor,RobustScaler,7,-2.295507086758523,0.48562691636544314
CatBoostRegressor,StandardScaler,6,-2.2956797456455975,0.48562840994690787
CatBoostRegressor,MaxAbsScaler,7,-2.295698736155386,0.48553699393822125
CatBoostRegressor,Original,7,-2.2957743645540303,0.48550727827268514
CatBoostRegressor,MinMaxScaler,7,-2.2957882919879276,0.4854999570036849
CatBoostRegressor,MinMaxScaler01,7,-2.295812846220978,0.48548652733749087
CatBoostRegressor,MinMaxScaler,5,-2.295895136586676,0.48550648110649897
CatBoostRegressor,QuantileTransformer01,5,-2.2961669326777554,0.48546742490967737
CatBoostRegressor,QuantileTransformer,5,-2.296286235205222,0.4854125746573539
CatBoostRegressor,RobustScaler01,5,-2.297439939074442,0.4848968587723321
CatBoostRegressor,RobustScaler,5,-2.297701951507039,0.48477288687724346
CatBoostRegressor,StandardScaler,5,-2.297741611991083,0.4847528301015324
CatBoostRegressor,MinMaxScaler01,5,-2.297916217317323,0.4846736753764144
CatBoostRegressor,RobustScaler,4,-2.2995216816525916,0.4839160475385536
CatBoostRegressor,MaxAbsScaler,4,-2.2995862349122205,0.4838864414519528
CatBoostRegressor,MinMaxScaler01,4,-2.299588672339378,0.48388443018374644
CatBoostRegressor,QuantileTransformer01,4,-2.3014016205091985,0.4831854837182969
CatBoostRegressor,RobustScaler01,6,-2.3085331034883727,0.4798877415137014
CatBoostRegressor,RobustScaler,6,-2.3089094300351602,0.4797083209878964
CatBoostRegressor,MinMaxScaler,6,-2.308955958858247,0.47969030888569864
CatBoostRegressor,MinMaxScaler01,6,-2.3090069554185995,0.4796644753604641
CatBoostRegressor,Original,6,-2.309088482530784,0.4796293471266204
CatBoostRegressor,MaxAbsScaler,6,-2.3091429597482462,0.4796028859698695
CatBoostRegressor,QuantileTransformer,3,-2.3128341455350485,0.4779844828254805
CatBoostRegressor,MinMaxScaler01,3,-2.3154019220833035,0.47683224559562154
CatBoostRegressor,StandardScaler,4,-2.3154405158336617,0.47677021866909675
CatBoostRegressor,MinMaxScaler,4,-2.3157744270775025,0.47662002788703495
CatBoostRegressor,Original,4,-2.315857614211278,0.47658321152381566
CatBoostRegressor,RobustScaler01,4,-2.3257908511613343,0.4719692150081311
CatBoostRegressor,QuantileTransformer,4,-2.326004945020147,0.4718719172130261
CatBoostRegressor,RobustScaler01,3,-2.3397527646009784,0.46571546546540576
CatBoostRegressor,QuantileTransformer01,3,-2.3397626667106826,0.4657144048958486
CatBoostRegressor,MinMaxScaler,3,-2.340383859160865,0.4654196292367928
CatBoostRegressor,Original,3,-2.340504411167493,0.4653640017041618
CatBoostRegressor,MaxAbsScaler,3,-2.3405057401499834,0.4653627638848025
CatBoostRegressor,RobustScaler,3,-2.361859476697807,0.455747980041126
CatBoostRegressor,Normalizer,4,-2.36556566973004,0.4539299112562053
CatBoostRegressor,StandardScaler,3,-2.3749094326168576,0.44936086370409123
CatBoostRegressor,Normalizer,3,-3.155588817586049,0.027716956729125886
